gene_id,baseMean,log2FC,lfcSE,stat,p_value,p_adj
WASH7P,4.5878565679873144,2.458705718453103,1.1167660659570702,2.2016300399905044,0.027691452186001782,0.20206418589183056
LOC729737,122.15576172518561,1.3420391001024583,0.7168220116887227,1.8722068773262417,0.06117798799822187,0.30972376623666686
TGIF1,1400.0374903672077,-0.09916795685653798,0.14239853698801963,-0.6964113463109615,0.486171259384501,0.796121059711895
PRDX6,4794.111980715496,-0.008120483933474773,0.20080248705534745,-0.04044015615820791,0.967742216434495,0.9910568904787705
CIC,1581.916300084915,0.053769220057359915,0.17779057840954135,0.3024300867816645,0.7623242219685482,0.9256082603282433
LOC100133331,27.447508582946988,0.5189151431642303,0.38784847849045645,1.3379326513897845,0.1809183922080393,0.5227148974559542
FAM87B,2.962476190534293,0.1350762980244057,0.9638306239379638,0.14014526481065598,0.8885452173230055,
LINC00115,7.690414630457003,0.3201677124147203,0.6466110890149791,0.4951472652633451,0.6204961720521373,0.8646932889864274
LINC01128,160.1672256252443,0.07970241760204963,0.3006281094082056,0.2651196448627041,0.7909172942599947,0.9363933739917153
FAM41C,1.2999130077642018,-0.14821595411233227,1.5772357932463843,-0.09397196966172262,0.9251314231503605,
LINC02593,4.31989060548854,2.988383971062644,1.2985943746196966,2.3012451227796324,0.021377779692682022,0.1747511563376607
LILRA4,1.375636058628488,-3.869941813672268,2.7375820809707925,-1.413634988544315,0.15746910260980163,
PLEC,7121.52706399224,0.271029252605636,0.2660312480343202,1.0187872838557332,0.3083039639643821,0.6600753437464019
PLEKHN1,291.42878446633347,0.9223553983470545,0.3172257222110922,2.907568125050369,0.0036425099604509717,0.05893464610517052
MPP2,7.491405200054879,0.3551916023337956,1.000427969683841,0.35503965612441307,0.722559882693826,0.9080899528273143
CFTR,414.16022143521815,-0.9914856826311711,0.2886300939194776,-3.4351431244303208,0.0005922409486150161,0.01697658679204944
C1QB,1490.9156082066775,-2.144841545198043,0.5215868003595414,-4.112146901952955,3.9199672910585504e-05,0.002425162497802734
ELN,256.22891088121196,-0.05414127660646279,0.7289892565446227,-0.0742689636649655,0.9407963722153637,0.9824381788544043
SEPTIN12,3.07955700095068,1.3923892807355451,1.3390805726144543,1.0398099331819963,0.29842821329454683,
RBM19,696.5893457440748,-0.0766287485224746,0.1502241835133853,-0.510095956125778,0.6099842381369165,0.8594346614005756
CCDC120,1233.428348082969,0.6868598495697875,0.24466914756055114,2.8073006197064645,0.0049958595410077005,0.07190275167011836
INO80D,949.388441525407,0.08969770164125233,0.24830744854095885,0.3612364516985342,0.717922694752938,0.9066694299143865
CCDC34,181.97578177451578,0.1852325018589212,0.3316813441652302,0.55846524116426,0.5765267333544644,0.8437813715641196
C12orf43,322.8969033773051,-0.226451881911136,0.1931563627596058,-1.172375989461804,0.24104613501667127,0.5925889760079659
LOC100288175,50.474696105918454,0.8308254280392023,0.3883020582060288,2.1396369410907825,0.03238411878959176,0.22058394418304506
CCDC169,10.978366633439968,0.4031612338590621,0.7948616036189282,0.5072093456565369,0.6120079382928543,0.8600460286874557
LINC01342,4.411064724211313,-0.0999139590184261,1.0377571156782568,-0.09627875107666632,0.9232991868613771,0.9771939975963183
RAD17,19.211426047288555,-0.3008533344262709,0.44716437144418236,-0.6728025612922186,0.5010729080702117,0.8051904088479463
SH2D3C,141.66376792582977,-0.437524459880336,0.707564919446941,-0.6183523912156659,0.5363430734430996,0.8236955526118677
ZNF41,478.77216772789984,-0.2216451842062116,0.1605449890169902,-1.3805798957870634,0.16740816833717853,0.5046009616598551
VIL1,1.3170846526790125,-1.325555665555881,1.6033921903726873,-0.826719547166918,0.4083960394546273,
MDK,6006.331340836392,-1.048929231619114,0.2999394114778886,-3.497137059950658,0.0004702801465750854,0.014547388922562758
ALOX15B,230.6710707705595,1.7580798943186668,0.5093538548678678,3.4515884733506783,0.000557297012638839,0.016356572219070636
SLC25A1,1193.3769555229364,-0.2566468809010215,0.3352265210878942,-0.7655924121639838,0.4439188607503891,0.7665622977957774
DUSP9,6.980312571579622,1.7949494327892521,1.0139417441959737,1.7702687980487424,0.07668237328491505,0.34507067978211775
UQCC3,320.20463399401785,0.21496455524233665,0.31762002568812303,0.676797864922454,0.49853421299220935,0.8037773466263014
MORC4,450.4862730666748,-0.15510125545800219,0.17191695026213516,-0.9021871038400067,0.366957484243701,0.7087439256529285
SCNN1D,93.7790355955295,1.9542811722488307,0.60332690944716,3.239174553045505,0.0011987618518173255,0.02743007830354793
MRTFB,2798.7438442998773,0.18820982486441956,0.32639838036736196,0.5766260992244786,0.5641920644245122,0.8373472556358759
SNORD167,6.787847955093092,0.6747921528642038,0.8251621335374143,0.8177691697647532,0.413489005458887,0.7427450996874807
PUSL1,327.3803117322583,0.5364523623715295,0.33556474254730406,1.5986553244517534,0.10989720950652794,0.41404646359315966
MSRB3,9.967942028435013,-0.2365884068598343,0.7763378642378932,-0.3047492821853869,0.7605571120240038,0.9246519525969891
FGFR3,5610.697327830445,1.6194314804932834,0.31638487059277,5.118549055329862,3.078951581945259e-07,6.001805084113881e-05
EWSR1,5792.1873764640695,0.1508738364586071,0.19149334392823542,0.7878803166920988,0.4307667155243958,0.7565080398566293
TMA7,533.9173196147785,0.7331348281575488,0.2448922682214793,2.9937034496103627,0.002756136860147407,0.049307961689086556
NUPR1,3798.4778332620003,-1.7455160469976867,0.7172960774655339,-2.4334666002429923,,
OSTF1,1753.1569358200754,0.3698319124963906,0.2494864169789027,1.482372936269571,0.13824109101356594,0.46131325656622435
