gene_id,baseMean,log2FC,lfcSE,stat,p_value,p_adj
FRMD6,1029.0644908332122,2.4132370518443547,0.47261420312734886,5.106145849776954,3.287959498069525e-07,6.146697326880191e-05
GIMAP6,272.1400218902114,-2.284930044108379,0.7046412965109319,-3.242685399539211,0.0011840888025730354,0.027282809181229672
SIGLEC1,248.6860557081934,-3.996832270483365,0.7554918474290169,-5.290371145744087,1.2206839621369504e-07,2.7265640863368064e-05
STRIP2,209.17191531785605,2.4793420105546287,0.7043328499846271,3.520128318037052,0.00043133806683853695,0.013662216227543274
IL1RL1,80.95852783940026,2.9793546104380937,0.7989824621363298,3.728936180240873,0.00019228983973585185,0.007836950127054303
SPRR2C,902.283575018622,6.0585397720234795,1.4484585414478202,4.1827498672952075,2.8800420734873714e-05,0.0019273869113583385
LOC101928034,35.34158832777533,2.065544477540834,0.6343132998400284,3.256347420212941,0.0011285556831434173,0.026698802193099908
KRT13,23297.71257041923,3.9011202225915134,0.6406477567597568,6.089337208206967,1.133790860654166e-09,5.694186693081191e-07
CNR1,7.577585776138699,4.921174980236968,1.1996812869727496,4.102068635791558,4.094727604149063e-05,0.002515186430848562
HEPHL1,51.98463665476379,3.768564115795177,1.0169947895331812,3.705588420492316,0.00021090053766405328,0.008338048305951863
CDC42EP5,36.04589900835072,-4.913808338503175,1.2653216969694243,-3.883445885953155,0.0001029864603572447,0.004989476427279581
TBX18,32.235244768682904,3.7065482952319924,0.899621167702235,4.120121255816004,3.786730610390461e-05,0.002368290173385656
ENOX1,25.77963831486916,-2.3794763263750935,0.6351367459299759,-3.746400033729794,0.00017939044318998276,0.007557687829605202
VNN3,2125.781924659769,-2.388897745057794,0.6886387696973596,-3.4690143079043576,0.0005223716336267309,0.015516873448611648
DCC,11.423871062023169,-3.793129356088699,1.1908196647881433,-3.1853096386038673,0.0014459920125547078,0.03120403591459024
RSAD2,3017.9574676728234,-4.005492145315673,0.9210252070862017,-4.3489495341692495,1.3679118291585063e-05,0.0011203197880808166
KCNN2,12.731699070189412,3.6134990836860825,1.0057966815960355,3.5926734993319407,0.0003273025883264555,0.01139408424933534
CYP27C1,85.36381069713158,5.865583321584777,0.9026065450550154,6.498494115425741,8.112796798604732e-11,6.644380578057276e-08
HS3ST2,12.400717494901894,2.803172517176581,0.8488565913759548,3.3022922195052717,0.0009589810720147991,0.023973132932532747
PGLYRP3,111.96345927733422,2.8975892939156473,0.7206467008744011,4.02081809352605,5.799637785460954e-05,0.0032510161982565937
RHCG,1461.030811308034,2.717227200350466,0.8983206962575345,3.0247852595076794,0.002488097156975834,0.04611434487832643
SLC26A9,211.1969786488919,4.486565314669779,0.8381990150288539,5.352625372048827,8.668720130955976e-08,2.0423742127713948e-05
CD1A,8.560217827681223,3.449412531066335,1.0168079633987217,3.392393308502949,0.000692849087029047,0.018944851268382478
C11orf96,33.40369678368409,2.9109070514980795,0.887117168681176,3.281310692955645,0.0010332585870837666,0.02524291823757628
LINC02657,10.482332312427648,2.4270686370796097,0.7317194092909894,3.316938988172194,0.0009100948834116239,0.023013980861575422
ACKR4,33.205623342284035,-2.559117291901353,0.8328882509274907,-3.072581812808095,0.002122156522945522,0.040964051670190835
SERPINB13,2934.531001942175,2.1368163590673337,0.47580767544400027,4.490924525488921,7.091467889413046e-06,0.0006453235779365871
CLCA4,5208.888286294486,2.594245263217994,0.503474477852022,5.152684748362711,2.5678343518738266e-07,5.1957862373974054e-05
LOC283028,12.848900423689884,2.016987009057421,0.5668781918812814,3.5580606873651415,0.0003736030068034457,0.012333201754342538
CLCN1,29.271214430704088,2.1429700257972324,0.6294694643218666,3.404406642831951,0.0006630796164793971,0.01849151076355718
DMKN,1193.9143006801626,2.058164496713591,0.4867590250401762,4.228302693604322,2.3546087557899453e-05,0.0016529353465645415
CNFN,2060.9183736717528,3.174257155224148,0.7524842541998523,4.218370201778464,2.460745609057036e-05,0.001699693322496866
